epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,347.656,0.54592,1.25974,0.9819,0.93915,0.56175,0.75235,0.61047,0.48096,2.62574,1.05285,0.000493103,0.000493103,0.000493103
43,356.195,0.47335,1.11872,0.9339,0.93915,0.56175,0.75235,0.61047,0.48096,2.62574,1.05285,0.00049657,0.00049657,0.00049657
44,365.475,0.47631,1.16531,0.96552,0.95671,0.57883,0.73776,0.61863,0.51315,2.51751,1.05227,0.000499641,0.000499641,0.000499641
45,374.436,0.61105,1.42478,1.07348,0.95671,0.57883,0.73776,0.61863,0.51315,2.51751,1.05227,0.000502316,0.000502316,0.000502316
46,383.446,0.53235,1.15463,0.9682,0.76176,0.95238,0.95087,0.64733,0.51495,2.35925,1.03889,0.000504595,0.000504595,0.000504595
47,393.939,0.47138,1.16782,0.94291,0.76176,0.95238,0.95087,0.64733,0.51495,2.35925,1.03889,0.000506478,0.000506478,0.000506478
48,404.128,0.47381,1.13534,0.92521,0.81296,0.95238,0.94833,0.76008,0.57599,2.2017,1.15617,0.000507965,0.000507965,0.000507965
49,413.083,0.48145,1.09157,0.93997,0.81296,0.95238,0.94833,0.76008,0.57599,2.2017,1.15617,0.000509056,0.000509056,0.000509056
50,422.13,0.51968,1.12999,0.992,0.71853,0.93881,0.94833,0.73533,0.58772,2.26938,1.21629,0.000509751,0.000509751,0.000509751
51,430.933,0.50308,1.1402,0.96962,0.71853,0.93881,0.94833,0.73533,0.58772,2.26938,1.21629,0.000505,0.000505,0.000505
52,439.807,0.52069,1.16896,1.00009,0.579,0.95238,0.95033,0.6776,0.66427,2.435,1.37475,0.0004951,0.0004951,0.0004951
53,448.299,0.44236,0.96302,0.90814,0.579,0.95238,0.95033,0.6776,0.66427,2.435,1.37475,0.0004852,0.0004852,0.0004852
54,457.048,0.44442,1.04896,0.91159,0.48712,0.95238,0.78455,0.55944,0.69821,2.69003,1.60921,0.0004753,0.0004753,0.0004753
55,465.483,0.51138,1.08544,1.01254,0.48712,0.95238,0.78455,0.55944,0.69821,2.69003,1.60921,0.0004654,0.0004654,0.0004654
56,474.225,0.44946,1.02396,0.95512,0.58354,0.95238,0.94993,0.62436,0.57142,2.7207,1.27635,0.0004555,0.0004555,0.0004555
57,483.455,0.52368,1.01662,0.98103,0.58354,0.95238,0.94993,0.62436,0.57142,2.7207,1.27635,0.0004456,0.0004456,0.0004456
58,492.884,0.48634,1.0511,1.02507,0.51697,0.95238,0.95196,0.64682,0.58753,2.54964,1.341,0.0004357,0.0004357,0.0004357
59,501.714,0.52614,1.1301,0.95268,0.51697,0.95238,0.95196,0.64682,0.58753,2.54964,1.341,0.0004258,0.0004258,0.0004258
60,510.732,0.48775,1.00172,0.9567,0.4469,0.95238,0.95576,0.62167,0.60001,2.30834,1.30554,0.0004159,0.0004159,0.0004159
61,520.024,0.51142,1.1408,0.95208,0.4469,0.95238,0.95576,0.62167,0.60001,2.30834,1.30554,0.000406,0.000406,0.000406
62,529.851,0.42265,0.97268,0.91921,0.51645,0.95238,0.96389,0.60037,0.47688,2.20129,1.13682,0.0003961,0.0003961,0.0003961
63,539.803,0.42563,0.92836,0.92563,0.51645,0.95238,0.96389,0.60037,0.47688,2.20129,1.13682,0.0003862,0.0003862,0.0003862
64,549.788,0.4447,0.97999,0.96958,0.88341,0.52552,0.96875,0.57708,0.394,2.14341,1.05308,0.0003763,0.0003763,0.0003763
65,559.575,0.41062,0.93901,0.92628,0.88341,0.52552,0.96875,0.57708,0.394,2.14341,1.05308,0.0003664,0.0003664,0.0003664
66,569.694,0.39124,0.90137,0.9003,0.9454,0.57323,0.69374,0.54008,0.40721,2.09417,1.062,0.0003565,0.0003565,0.0003565
67,579.459,0.45106,1.00156,0.95053,0.9454,0.57323,0.69374,0.54008,0.40721,2.09417,1.062,0.0003466,0.0003466,0.0003466
68,589.665,0.42597,1.01299,0.91554,0.97164,0.57722,0.69442,0.57108,0.42745,2.04576,1.06691,0.0003367,0.0003367,0.0003367
